planet,angsep,completeness,scenario
eps Eri b,1088.01,0.82,Optimistic_WF_Imager_10000hr
GJ 832 b,696.97,0.59,Optimistic_WF_Imager_10000hr
GJ 849 b,271.57,0.53,Optimistic_NF_Imager_10000hr
47 UMa c,260.93,0.51,Optimistic_NF_Imager_10000hr
HD 219134 h,461.63,0.49,Optimistic_Amici_Spec_10000hr
HD 190360 b,246.34,0.48,Optimistic_NF_Imager_10000hr
GJ 687 c,256.08,0.46,Optimistic_NF_Imager_10000hr
47 UMa d,840.78,0.44,Optimistic_WF_Imager_10000hr
55 Cnc d,434.63,0.44,Optimistic_NF_Imager_10000hr
HD 160691 c,355.36,0.43,Optimistic_NF_Imager_10000hr
